ID,IDS,Sera,Ext_Tem (Celsius),Ext_Umi (%),Ext_Vvi (km/h),Histe,Refer:,Int_Tem,Histe,Refer:,Int_Umi (%),Int_Pu1 (%),Int_Pu2(%),App Timesstamp,Exact Timestamp
1,1001,Sera 1,25.2,65,5,0,27,22,2,44,72,20,30,9/3/2015 16:02,2015-09-03_16:02:01
1,1001,Sera 1,25.2,65,5,0,27,22,2,44,72,20,30,9/3/2015 16:02,2015-09-03_16:02:01
1,1001,Sera 1,25.7,65,5,0,27,22,2,44,72,20,30,9/3/2015 16:03,2015-09-03_16:03:18
1,1001,Sera 1,25.7,65,5,0,27,22,2,44,72,20,30,9/3/2015 16:03,2015-09-03_16:03:18
1,1001,Sera 1,25.7,65,5,0,27,22,2,44,72,20,30,9/3/2015 16:03,2015-09-03_16:03:18
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,43,72,20,30,9/3/2015 16:18,2015-09-03_16:18:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,43,72,20,30,9/3/2015 16:18,2015-09-03_16:18:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,43,72,20,30,9/3/2015 16:18,2015-09-03_16:18:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,71,20,30,9/3/2015 16:19,2015-09-03_16:19:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,71,20,30,9/3/2015 16:19,2015-09-03_16:19:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,71,20,30,9/3/2015 16:19,2015-09-03_16:19:01
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,72,20,30,9/4/2015 12:15,2015-09-04_12:15:00
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,72,20,30,9/4/2015 12:15,2015-09-04_12:15:00
1,1001,Sera 1,26.1,67,4.9,0,27,22,2,42,72,20,30,9/4/2015 12:15,2015-09-04_12:15:00
1,1002,Sera 2,29.1,0,0,1,22,31.2,0,0,45,100,100,9/4/2015 12:24,2015-09-04_12:23:48
1,1002,Sera 2,29.1,0,0,1,22,31.2,0,0,45,100,100,9/4/2015 12:24,2015-09-04_12:23:48
1,1002,Sera 2,29.1,0,0,1,22,31.2,0,0,45,100,100,9/4/2015 12:24,2015-09-04_12:23:48
1,1002,Sera 2,29.2,0,0,1,22,31.7,0,0,44,100,100,9/4/2015 12:25,2015-09-04_12:24:48
1,1002,Sera 2,29.2,0,0,1,22,31.7,0,0,44,100,100,9/4/2015 12:25,2015-09-04_12:24:48
1,1002,Sera 2,29.2,0,0,1,22,31.7,0,0,44,100,100,9/4/2015 12:25,2015-09-04_12:24:48
1,1002,Sera 2,29.2,0,0,1,22,31.1,0,0,44,100,100,9/4/2015 12:30,2015-09-04_12:29:48
1,1002,Sera 2,29.2,0,0,1,22,31.1,0,0,44,100,100,9/4/2015 12:30,2015-09-04_12:29:48
